district_code,district_name,block_code,block_name,udise,name,management,category,type
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010101608,BANI VIDYA PITH GIRLS' H./S,11-State Govt. Managed,5 - Up. Pr. Secondary and Higher Sec,2-Girls
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010101609,RAMNAGAR (BOYS') H/S SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010101610,SISHU BIHAR H/S SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010101709,BIJOY KUMAR GIRLS' H/S SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010102004,M.T.B GIRLS' H/S SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,2-Girls
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010102010,KSHUDIRAM BASU ENGLISH MEDIUM SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010102103,UMAKANTA ACADEMY H/S SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010102113,BODHJUNG GIRLS' H/S SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010102114,BODHJUNG (BOYS') H/S SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010102304,PM-SHRI-KAMINI KUMAR SINGHA MEMORIAL HS SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010102412,SWAMI DYALANANDA J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010102413,SOUTH CHANDRAPUR J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010102501,CHARIPARA CLASS - XII SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010102506,WEST CHAMPAMURA HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010102606,DR.B.R AMBEDKAR VIDYABHABAN HS,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
